,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
,郑中设计,002811,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中国银河,601881,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中泰证券,600918,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,汇金股份,300368,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,国药股份,600511,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,银都股份,603277,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,豪美新材,002988,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,和科达,002816,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,涪陵电力,600452,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,民生控股,000416,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,泰禾光电,603656,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,海容冷链,603187,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,ST中安,600654,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,玉禾田,300815,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,西菱动力,300733,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,常宝股份,002478,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,经纬辉开,300120,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,*ST河化,000953,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,德力股份,002571,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,豪悦护理,605009,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华测检测,300012,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,正川股份,603976,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,法拉电子,600563,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华明装备,002270,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,振德医疗,603301,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,伟隆股份,002871,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,艾华集团,603989,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,龙马环卫,603686,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,聆达股份,300125,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,瑞普生物,300119,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,视源股份,002841,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,凌霄泵业,002884,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,天晟新材,300169,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,强生控股,600662,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,爱康科技,002610,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,财通证券,601108,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,奥瑞金,002701,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,捷强装备,300875,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中油工程,600339,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,家家悦,603708,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,赤峰黄金,600988,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,雷迪克,300652,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,长城军工,601606,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,广聚能源,000096,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,招商证券,600999,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,新泉股份,603179,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中集集团,000039,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,好太太,603848,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,天舟文化,300148,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,东方盛虹,000301,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,楚天科技,300358,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,新力金融,600318,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,新晨科技,300542,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,欧普康视,300595,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,四环生物,000518,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中国核建,601611,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,光大证券,601788,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,环旭电子,601231,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,天和防务,300397,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,大烨智能,300670,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华懋科技,603306,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,ST抚钢,600399,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,海大集团,002311,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,ST昌九,600228,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华西证券,002926,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,福蓉科技,603327,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中路B股,900915,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,景旺电子,603228,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,新宝股份,002705,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华夏航空,002928,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,丽珠集团,000513,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中欣氟材,002915,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,通威股份,600438,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,浙江仙通,603239,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华能国际,600011,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,世龙实业,002748,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,安控科技,300370,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,*ST金洲,000587,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,隆基股份,601012,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,龙源技术,300105,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,山东墨龙,002490,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,金圆股份,000546,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,天海防务,300008,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,东北证券,000686,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,赢合科技,300457,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,米奥会展,300795,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,东华测试,300354,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,启明信息,002232,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,三特索道,002159,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,黑猫股份,002068,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,盟升电子,688311,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,盈峰环境,000967,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,美年健康,002044,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华创阳安,600155,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,红日药业,300026,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,晶华新材,603683,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,宝色股份,300402,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,方正科技,600601,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,希努尔,002485,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,上柴B股,900920,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,三环集团,300408,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,涪陵榨菜,002507,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,国光股份,002749,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,通策医疗,600763,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,尚品宅配,300616,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,田中精机,300461,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,莱克电气,603355,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,九强生物,300406,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,茶花股份,603615,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,凌云股份,600480,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,国泰君安,601211,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,南新制药,688189,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中嘉博创,000889,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,宏达新材,002211,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,九洲集团,300040,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,青青稞酒,002646,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中矿资源,002738,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,宝信软件,600845,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,美尔雅,600107,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,哈尔斯,002615,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,天成自控,603085,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,海通证券,600837,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,国发股份,600538,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,鸣志电器,603728,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,嘉欣丝绸,002404,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,兴业证券,601377,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,有友食品,603697,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,苏州科达,603660,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,博威合金,601137,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,阳普医疗,300030,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,黄山旅游,600054,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,海欣食品,002702,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,玉龙股份,601028,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,太龙药业,600222,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,海鸥股份,603269,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华林证券,002945,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,国电南瑞,600406,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,康德莱,603987,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,山河药辅,300452,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,创新医疗,002173,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,科锐国际,300662,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,幸福蓝海,300528,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,宜昌交运,002627,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中电环保,300172,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,克来机电,603960,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,精研科技,300709,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,桂林旅游,000978,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,三晖电气,002857,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,新劲刚,300629,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,康芝药业,300086,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中南传媒,601098,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,申万宏源,000166,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,凯马B,900953,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,赛托生物,300583,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,龙大肉食,002726,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,美康生物,300439,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华鑫股份,600621,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,杰瑞股份,002353,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,*ST银亿,000981,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中材科技,002080,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,太平洋,601099,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,*ST宏图,600122,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,柏堡龙,002776,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中国海诚,002116,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,恒华科技,300365,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,恒生电子,600570,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,金瑞矿业,600714,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,爱尔眼科,300015,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,引力传媒,603598,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,凤竹纺织,600493,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,安靠智电,300617,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,佩蒂股份,300673,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,东吴证券,601555,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,长城证券,002939,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,比音勒芬,002832,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,安纳达,002136,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中银证券,601696,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,光力科技,300480,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,*ST松江,600225,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,联创光电,600363,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,国信证券,002736,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,怡达股份,300721,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,八方股份,603489,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中远海能,600026,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,博杰股份,002975,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,信邦制药,002390,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,瀛通通讯,002861,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,永福股份,300712,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华宇软件,300271,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,海联讯,300277,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,美亚柏科,300188,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,恒丰纸业,600356,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,三角防务,300775,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,冠昊生物,300238,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华兰生物,002007,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,富奥股份,000030,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,惠而浦,600983,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,青岛啤酒,600600,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,石大胜华,603026,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,赛为智能,300044,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,山西证券,002500,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,南洋股份,002212,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,龙泉股份,002671,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,洪都航空,600316,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,吉药控股,300108,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,三花智控,002050,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,金海环境,603311,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,*ST晨鑫,002447,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,达刚控股,300103,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华铁应急,603300,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,航天长峰,600855,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,东杰智能,300486,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,国机汽车,600335,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,重庆啤酒,600132,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,全柴动力,600218,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,曲美家居,603818,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中炬高新,600872,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,郑煤机,601717,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华东数控,002248,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,我武生物,300357,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中原证券,601375,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,国投资本,600061,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,生物股份,600201,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,ST仰帆,600421,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,歌尔股份,002241,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,嘉应制药,002198,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,拓斯达,300607,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,建设机械,600984,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,新华文轩,601811,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,好想你,002582,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中来股份,300393,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,盛讯达,300518,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,诚迈科技,300598,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中金黄金,600489,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,晨光文具,603899,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,百联股份,600827,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,陕西煤业,601225,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,周大生,002867,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,永泰能源,600157,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中泰化学,002092,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,科森科技,603626,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,许继电气,000400,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,延华智能,002178,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,博瑞医药,688166,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,和胜股份,002824,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,中国神华,601088,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,塔牌集团,002233,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
